Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,Rueben Bain,EDGE,Miami (FL)
4,Francis Mauigoa,OT,Miami (FL)
5,Carnell Tate,WR,Ohio State
6,Spencer Fano,OT,Utah
7,Caleb Downs,S,Ohio State
8,David Bailey,EDGE,Texas Tech
9,Jordyn Tyson,WR,Arizona State
10,Jeremiyah Love,RB,Notre Dame
11,Mansoor Delane,CB,LSU
12,Sonny Styles,LB,Ohio State
13,Keldric Faulk,EDGE,Auburn
14,Peter Woods,DL,Clemson
15,Jermod McCoy,CB,Tennessee
16,Makai Lemon,WR,USC
17,Ty Simpson,QB,Alabama
18,Kenyon Sadiq,TE,Oregon
19,Olaivavega Ioane,IOL,Penn State
20,Kadyn Proctor,OT,Alabama
21,Avieon Terrell,CB,Clemson
22,Cashius Howell,EDGE,Texas A&M
23,Kayden McDonald,DL,Ohio State
24,Caleb Lomu,OT,Utah
25,Denzel Boston,WR,Washington
26,Kevin Concepcion,WR,Texas A&M
27,C.J. Allen,LB,Georgia
28,T.J. Parker,EDGE,Clemson
29,Caleb Banks,DL,Florida
30,Akheem Mesidor,EDGE,Miami (FL)
31,Brandon Cisse,CB,South Carolina
32,Monroe Freeling,OT,Georgia
33,Colton Hood,CB,Tennessee
34,Emmanuel Pregnon,IOL,Oregon
35,Anthony Hill Jr.,LB,Texas
36,Christen Miller,DL,Georgia
37,Emmanuel McNeil-Warren,S,Toledo
38,Gennings Dunker,OT,Iowa
39,Zachariah Branch,WR,Georgia
40,R Mason Thomas,EDGE,Oklahoma
41,Chris Johnson,CB,San Diego State
42,Lee Hunter,DL,Texas Tech
43,Dillon Thieneman,S,Oregon
44,Keith Abney II,CB,Arizona State
45,Romello Height,EDGE,Texas Tech
46,Chris Brazzell,WR,Tennessee
47,Chris Bell,WR,Louisville
48,Trinidad Chambliss,QB,Mississippi
49,Blake Miller,OT,Clemson
50,Zion Young,EDGE,Missouri
51,D'angelo Ponds,CB,Indiana
52,Chase Bisontis,IOL,Texas A&M
53,Elijah Sarratt,WR,Indiana
54,L.T. Overton,EDGE,Alabama
55,A.J. Haulcy,S,LSU
56,Germie Bernard,WR,Alabama
57,Caleb Tiernan,OT,Northwestern
58,Joshua Josephs,EDGE,Tennessee
59,Jake Golday,LB,Cincinnati
60,Ja'Kobi Lane,WR,USC
61,Max Iheanachor,OT,Arizona State
62,Isaiah World,OT,Oregon
63,Omar Cooper Jr.,WR,Indiana
64,Malik Muhammad,CB,Texas
65,Connor Lew,IOL,Auburn
66,Zakee Wheatley,S,Penn State
67,Kamari Ramsey,S,USC
68,Malachi Fields,WR,Notre Dame
69,Gabe Jacas,EDGE,Illinois
70,Josiah Trotter,LB,Missouri
71,Domonique Orange,DL,Iowa State
72,Jonah Coleman,RB,Washington
73,Max Klare,TE,Ohio State
74,Garrett Nussmeier,QB,LSU
75,Jadarian Price,RB,Notre Dame
76,Keionte Scott,CB,Miami (FL)
77,Dani Dennis-Sutton,EDGE,Penn State
78,Deontae Lawson,LB,Alabama
79,Julian Neal,CB,Arkansas
80,Eli Stowers,TE,Vanderbilt
81,Derrick Moore,EDGE,Michigan
82,Dontay Corleone,DL,Cincinnati
83,Antonio Williams,WR,Clemson
84,Michael Trigg,TE,Baylor
85,Emmett Johnson,RB,Nebraska
86,Jake Slaughter,IOL,Florida
87,Skyler Bell,WR,UConn
88,Brian Parker II,OT,Duke
89,Darrell Jackson Jr.,DL,Florida State
90,Jacob Rodriguez,LB,Texas Tech
91,Genesis Smith,S,Arizona
92,Nick Singleton,RB,Penn State
93,Chandler Rivers,CB,Duke
94,Davison Igbinosun,CB,Ohio State
95,Carson Beck,QB,Miami (FL)
96,Will Lee III,CB,Texas A&M
97,Jalon Kilgore,S,South Carolina
