Rank,Name,Pos,Exp,ATH,BR,CBS,DT,ESPN,PFF,PFN,SIS,Tank,SD,Avg
1,Arvell Reese,LB,JR.,1,4,3,2,3,2,1,4,1,2.3,2.33333333333333
2,Caleb Downs,S,JR.,4,1,5,5,2,8,2,3,2,3.6,3.44
3,Jeremiyah Love,RB,JR.,3,2,12,3,1,3,5,1,6,4.0,5.22
4,Fernando Mendoza,QB,RS JR.,2,3,1,1,5,1,4,26,3,5.1,5.11
5,Sonny Styles,LB,SR.,5,9,8,4,4,4,3,7,7,5.7,10.78
6,David Bailey,ED,SR.,6,6,15,6,6,6,10,2,4,6.8,7.89
7,Rueben Bain Jr.,ED,JR.,9,5,2,10,12,5,8,6,5,6.9,3.89
8,Carnell Tate,WR,JR.,10,7,6,8,8,10,6,10,8,8.1,8.22
9,Mansoor Delane,CB,SR.,7,10,10,7,11,9,11,8,9,9.1,12.11
10,Jordyn Tyson,WR,RS JR.,12,8,4,12,9,18,7,9,12,10.1,9.11
11,Makai Lemon,WR,JR.,14,11,14,11,10,14,9,27,10,13.3,14.00
12,Kenyon Sadiq,TE,JR.,20,14,22,9,7,13,16,28,11,15.6,20.33
13,Jermod McCoy,CB,JR.,16,13,7,17,14,15,17,44,14,17.4,16.22
14,Avieon Terrell,CB,JR.,18,15,9,27,23,22,19,13,17,18.1,17.44
15,Dillon Thieneman,S,JR.,23,18,28,15,16,11,18,22,13,18.2,41.00
16,Peter Woods,DL,JR.,33,12,11,19,22,27,15,12,20,19.0,14.67
17,Keldric Faulk,ED,JR.,15,19,20,14,20,21,20,30,15,19.3,16.89
18,Akheem Mesidor,ED,RS SR.,19,26,19,32,18,19,28,20,18,22.1,31.11
19,Kayden McDonald,DL,JR.,26,22,18,34,17,25,21,24,28,23.9,24.67
20,Emmanuel McNeil-Warren,S,SR.,31,17,21,23,21,20,37,23,25,24.2,32.22
21,CJ Allen,LB,JR.,32,28,31,,25,17,29,21,22,25.6,28.00
22,Denzel Boston,WR,JR.,25,42,27,18,15,28,44,16,19,26.0,25.11
23,T.J. Parker,ED,JR.,36,20,40,13,13,26,35,29,23,26.1,26.44
24,Caleb Banks,DL,SR.,24,43,37,22,31,16,22,32,16,27.0,28.67
25,Omar Cooper Jr.,WR,JR.,27,27,13,25,19,24,42,46,27,27.8,58.00
26,Kevin Concepcion,WR,JR.,22,15,,26,28,28,30,48,26,27.9,28.33
27,Cashius Howell,ED,SR.,29,24,17,24,38,23,49,35,24,29.2,27.00
28,Colton Hood,CB,RS SO.,28,58,30,21,27,29,25,18,29,29.4,37.33
29,Ty Simpson,QB,JR.,34,23,26,16,28,35,43,64,26,32.8,33.11
30,Lee Hunter,DL,SR.,60,32,16,33,29,32,40,25,32,33.2,37.67
31,Brandon Cisse,CB,JR.,41,46,48,30,36,34,27,17,30,34.3,33.67
32,D'Angelo Ponds,CB,JR.,40,25,38,38,35,36,24,62,36,37.1,49.33
33,R Mason Thomas,ED,SR.,35,45,34,40,34,40,46,37,35,38.4,45.56
34,Christen Miller,DL,RS JR.,37,40,32,36,52,31,36,41,45,38.9,39.00
35,Chris Johnson,CB,SR.,38,50,35,20,40,39,38,73,34,40.8,51.00
36,Chris Brazzell ,WR,RS JR.,46,21,48,49,50,52,53,15,48,42.4,47.89
37,Zion Young,ED,SR.,39,33,61,46,24,33,89,45,31,44.6,57.56
38,Anthony Hill Jr.,LB,JR.,56,72,23,29,30,77,62,33,33,46.1,48.00
39,Gabe Jacas,ED,SR.,57,41,53,37,37,43,56,42,49,46.1,63.75
40,Jadarian Price,RB,JR.,51,31,45,41,57,48,74,43,37,47.4,57.38
41,Zachariah Branch,WR,JR.,75,37,47,42,32,63,69,34,42,49.0,57.00
42,Jake Golday,LB,SR.,47,39,25,48,46,49,55,92,46,49.7,54.56
43,Germie Bernard,WR,SR.,45,87,36,47,26,41,68,65,44,51.0,65.11
44,Chris Bell,WR,SR.,53,75,81,44,55,37,45,56,43,54.3,51.11
45,Jacob Rodriguez,LB,SR.,64,88,67,58,43,38,52,51,39,55.6,87.78
46,Keith Abney II,CB,JR.,59,85,33,45,93,42,34,66,47,56.0,53.75
47,Max Klare,TE,JR.,54,35,70,62,61,64,63,47,64,57.8,54.56
48,Keionte Scott,S,SR.,76,117,41,52,41,47,41,–,48,57.9,64.50
49,A.J. Haulcy,S,SR.,58,57,50,79,60,44,48,84,41,57.9,64.78
50,Eli Stowers,TE,RS SR.,48,91,55,28,39,45,129,54,40,58.8,74.33
51,Derrick Moore,ED,SR.,52,56,78,54,51,53,82,55,55,59.6,73.22
52,Malachi Lawrence,ED,SR.,93,106,46,51,59,46,47,-,52,62.5,94.43
53,Joshua Josephs,ED,SR.,–,94,59,39,77,52,70,50,61,62.8,72.00
54,Davison Igbinosun,CB,SR.,50,54,102,59,47,57,61,74,63,63.0,78.11
55,Kamari Ramsey,S,RS JR.,–,51,77,55,76,59,60,69,59,63.3,63.63
56,Josiah Trotter,LB,RS SO.,66,63,29,77,99,55,75,–,54,64.8,65.86
57,Elijah Sarratt,WR,SR.,65,64,66,53,68,62,88,76,56,66.4,68.89
58,Treydan Stukes,CB,SR.,77,61,57,67,62,51,105,-,65,68.1,146.14
59,Genesis Smith,S,JR.,72,84,44,71,78,75,59,–,66,68.6,97.43
60,Malachi Fields,WR,SR.,49,30,51,57,45,79,212,–,50,71.6,83.67
61,Domonique Orange,DL,SR.,71,68,69,50,91,61,107,88,62,74.1,79.63
62,Dani Dennis-Sutton,ED,SR.,68,70,84,43,111,56,122,58,57,74.3,88.56
63,Antonio Williams,WR,RS JR.,61,109,65,65,50,81,92,102,51,75.1,89.78
64,Mike Washington Jr.,RB,SR.,-,34,141,56,70,60,91,96,60,76.0,119.83
65,Romello Height,ED,SR.,80,79,62,35,149,65,111,36,67,76.0,65.25
66,Chandler Rivers,CB,SR.,88,29,112,108,56,68,79,63,83,76.2,75.29
67,Zakee Wheatley,S,SR.,55,36,76,81,69,91,124,78,82,76.9,93.33
68,Kyle Louis,LB,RS JR.,70,153,43,69,90,58,108,52,58,77.9,105.63
69,LT Overton,ED,SR.,78,65,88,,86,80,80,97,53,78.4,71.89
70,Ted Hurst,WR,SR.,62,55,121,64,48,88,132,–,74,80.5,96.17
71,Michael Trigg,TE,SR.,91,60,54,83,79,94,133,60,84,82.0,80.63
72,Ja'Kobi Lane,WR,JR.,–,97,130,73,65,110,76,38,68,82.1,72.63
73,Malik Muhammad,CB,JR.,90,38,87,63,63,108,117,109,71,82.9,82.00
74,Darrell Jackson Jr.,DL,SR.,69,78,82,92,94,67,101,101,69,83.7,87.11
75,Gracen Halton,DL,SR.,-,129,134,84,49,69,51,-,78,84.9,109.8
76,Julian Neal,CB,SR.,–,77,63,76,97,138,71,77,80,84.9,77.50
77,Devin Moore,CB,SR.,73,62,60,103,136,70,87,105,72,85.3,127.57
78,Jonah Coleman,RB,SR.,–,104,98,75,124,78,72,61,75,85.9,86.00
79,Garrett Nussmeier,QB,RS SR.,82,44,80,70,71,74,204,86,70,86.8,102.88
80,Skyler Bell,WR,RS SR.,-,95,120,85,130,50,57,-,77,87.7,99.4
81,Will Lee III,CB,SR.,–,66,79,131,109,90,83,81,81,90.0,95.57
82,Daylen Everette,CB,SR.,-,74,111,93,58,72,164,68,86,90.8,91.17
83,Deontae Lawson,LB,RS SR.,–,53,138,119,75,85,127,53,79,91.1,61.14
84,Emmett Johnson,RB,JR.,92,69,125,78,156,111,65,98,76,96.7,85.57
85,Anthony Lucas,ED,SR.,–,144,42,82,,84,125,116,87,97.1,101.14
86,Deion Burks,WR,RS SR.,–,48,133,68,82,66,217,107,73,99.3,97.67
87,Bud Clark,S,SR.,-,83,139,74,54,113,154,-,90,101.0,115
88,Brenen Thompson,WR,SR.,74,108,39,105,134,109,155,-,88,101.5,146.29
89,Kaytron Allen,RB,SR.,–,52,96,99,103,126,121,114,106,102.1,108.13
90,Jalon Kilgore,S,JR.,-,47,194,102,74,103,135,71,91,102.1,117.14
91,Keyron Crawford,ED,SR.,67,167,71,161,67,73,118,-,95,102.4,157.83
92,Justin Joly,TE,SR.,87,89,136,90,101,106,113,-,101,102.9,115.5
93,Jack Endries,TE,JR.,–,73,86,100,73,98,145,134,123,104.0,101.50
94,Dallen Bentley,TE,SR.,-,100,123,121,64,114,95,-,113,104.3,142.83
95,Bryce Lance,WR,SR.,99,145,127,89,89,87,93,-,108,104.6,142.6
96,Jaishawn Barham,ED,SR.,-,124,52,124,118,102,137,99,85,105.1,98.17
97,Tacario Davis,CB,SR.,-,111,165,66,87,158,66,-,102,107.9,136.8
98,Dontay Corleone,DL,RS SR.,–,127,72,94,122,83,161,115,100,109.3,109.14
99,Eli Raridon,TE,SR.,-,76,97,118,115,128,104,-,130,109.7,140.8
100,Carson Beck,QB,RS SR.,–,90,157,72,66,89,258,94,89,114.4,101.71
101,Reggie Virgil,WR,SR.,94,71,128,127,,104,169,-,111,114.9,144.4
102,Rayshaun Benny,DL,GR.,100,140,64,110,81,92,238,-,103,116.0,160.33
103,Devon Marshall,CB,SR.,-,,119,,,121,109,-,,116.3,253.33
104,Sam Roush,TE,SR.,-,92,147,88,127,71,183,131,97,117.0,139.29
105,Joe Royer,TE,RS SR.,-,125,108,137,53,127,139,133,119,117.6,127.38
106,Kevin Coleman Jr.,WR,SR.,-,155,85,91,143,133,100,-,120,118.1,133.67
107,Taurean York,LB,JR.,–,96,153,126,,116,106,117,121,119.3,97.00
108,Tim Keenan III,DL,SR.,-,99,103,112,138,115,168,106,117,119.8,125
109,Cade Klubnik,QB,SR.,-,103,101,86,,132,188,87,142,119.9,125.43
110,Tyreak Sapp,ED,RS SR.,-,112,99,87,,97,184,135,126,120.0,125.29
111,Drew Allar,QB,SR.,-,86,129,80,137,76,242,-,94,120.6,135.6
112,Chris McClellan,DL,SR.,95,158,58,180,110,99,171,121,96,120.9,161.38
113,Zane Durant,DL,SR.,-,118,184,61,98,159,148,103,104,121.9,138.67
114,Domani Jackson,CB,SR.,-,82,164,109,72,180,170,104,107,123.5,134
115,Louis Moore,S,SR.,-,81,161,142,123,239,50,80,122,124.8,97.8
116,Harold Perkins Jr.,LB,RS JR.,-,133,110,106,,151,159,126,98,126.1,128.71
117,Bryce Boettcher,LB,SR.,97,146,140,138,144,93,,-,,126.3,156.75
118,Demond Claiborne,RB,SR.,-,179,109,107,129,137,140,110,109,127.5,125
119,Josh Cameron,WR,SR.,-,80,104,154,104,200,177,100,105,128.0,139.57
120,Cyrus Allen,WR,SR.,-,54,,242,,100,116,-,136,129.6,162.67
121,Jahiem Lawson,ED,SR.,-,,,,,,130,-,,130.0,115.00
122,Hezekiah Masses,CB,SR.,-,101,144,149,,145,102,-,141,130.3,135.2
123,Albert Regis,DL,GR.,-,132,149,125,113,130,,-,134,130.5,135.33
124,Michael Taaffe,S,SR.,-,115,154,97,112,136,163,-,138,130.7,118.4
125,Ephesians Prysock,CB,SR.,-,102,195,135,,129,97,-,135,132.2,162
126,Caden Curry,ED,SR.,-,148,126,134,114,152,182,57,145,132.3,151.14
127,Charles Demmings,CB,SR.,-,137,230,120,96,135,98,-,114,132.9,230.75
128,Oscar Delp,TE,SR.,-,98,106,177,,169,158,123,110,134.4,124.57
129,Josh Cuevas,TE,RS SR.,-,119,83,147,,139,185,-,,134.6,144
130,Aiden Fisher,LB,SR.,-,162,163,143,125,142,84,-,139,136.9,159.5
131,Eric McAlister,WR,SR.,-,128,56,197,,107,218,-,124,138.3,191.4
132,Seth McGowan,RB,SR.,-,,143,101,154,101,208,-,125,138.7,150
133,Nadame Tucker,ED,RS SR.,-,156,89,146,,119,198,-,128,139.3,170.75
134,Zxavian Harris,DL,SR.,-,166,116,104,131,175,179,111,,140.3,146.29
135,Thaddeus Dixon,CB,RS SR.,-,114,179,162,,140,110,-,,141.0,145.75
136,Mikail Kamara,ED,RS SR.,-,173,,181,,96,114,-,,141.0,127.5
137,DeMonte Capehart,DL,GR.,-,174,137,128,145,105,226,122,92,141.1,144.6
138,Eric Rivers,WR,SR.,-,,93,95,,143,236,-,140,141.4,134
139,David Blay Jr.,DL,RS SR.,-,,,,,,,142,,142.0,142.00
140,Kaleb Proctor,DL,SR.,-,187,90,168,148,118,,-,,142.2,189.00
141,Nick Singleton,RB,SR.,-,142,,115,,,220,95,,143.0,121.33
142,Jeff Caldwell,WR,SR.,-,121,122,140,126,146,203,-,,143.0,181.67
143,Dae'Quan Wright,TE,SR.,-,113,150,158,92,166,186,-,,144.2,149.2
144,Trey Moore,ED,SR.,-,,170,157,105,147,,-,,144.8,164.67
145,Bishop Fitzgerald,S,RS SR.,-,,145,129,,162,,-,143,144.8,156.33
146,Max Llewellyn,ED,SR.,-,150,182,113,,122,176,-,127,145.0,159.75
147,CJ Daniels,WR,RS SR.,-,151,190,,,95,180,-,112,145.6,130.4
148,Marlin Klein,TE,SR.,-,130,132,141,161,112,215,-,144,147.9,183.6
149,Kaleb Elarms-Orr,LB,SR.,-,,197,144,132,134,141,-,,149.6,279.67
150,Skyler Gill-Howard,DL,SR.,-,186,131,183,167,131,162,128,116,150.5,134.67
151,Nate Boerkircher,TE,GR.,-,147,68,216,151,125,250,-,99,150.9,215.67
152,Le'Veon Moss,RB,SR.,-,116,177,133,141,120,252,124,,151.9,156
153,Isaiah Smith,ED,-,-,,,152,,,,-,,152.0,172.00
154,Aaron Graves,DL,-,-,,,170,,,136,-,,153.0,184.50
155,Keanu Tanuvasa,DL,-,-,,,153,,,,-,,153.0,174.00
156,Tanner Koziol,TE,SR.,-,110,169,150,121,157,213,-,,153.3,172.25
